"","X","ID","Site","Genus_species","datetime2","DEP","SHADE","BT","TC_interp","TC","AT","TA_interp","TA1m","diff_TC","diff_TA","species","site","region"
"1",10054,"2959_L","L","Ctenophorus isolepis","1979-02-14 09:25:00",0,18,29.5,38.73,38.9202968210558,31,30.84,30.7787891257565,-9.2,0.2,"C_isolepis","AUSL","Australia"
"2",7233,"1048_L","L","Ctenophorus isolepis","1978-10-28 09:50:00",0,0,30.5,38.63,29.3038012252077,22.2,19.37,23.852538262837,-8.1,2.8,"C_isolepis","AUSL","Australia"
"3",10130,"3066_L","L","Ctenophorus isolepis","1979-02-16 17:39:00",-2.5,50,29,36.71,25.4386329083596,28.2,30.48,23.9025540729348,-7.7,-2.3,"C_isolepis","AUSL","Australia"
"4",9114,"2341_L","L","Ctenophorus isolepis","1979-01-08 09:38:00",0,50,32.4,39.89,40.821189260265,25.1,35.26,38.3808488018217,-7.5,-10.2,"C_isolepis","AUSL","Australia"
"5",9927,"2894_L","L","Ctenophorus isolepis","1979-02-09 10:20:00",0,50,36.2,43.52,40.2726868763046,37,40,38.7232029832613,-7.3,-3,"C_isolepis","AUSL","Australia"
"6",7200,"1014_L","L","Ctenophorus isolepis","1978-10-27 11:40:00",-2.5,50,31,37.85,21.1728858441266,20,24.5,19.9663795175663,-6.9,-4.5,"C_isolepis","AUSL","Australia"
"7",10347,"3276_L","L","Ctenophorus isolepis","1979-02-25 10:15:00",0,36,32.3,38.74,38.8939954983555,26.9,32.78,35.3848481950355,-6.4,-5.9,"C_isolepis","AUSL","Australia"
"8",7203,"1028_L","L","Ctenophorus isolepis","1978-10-27 13:15:00",-2.5,50,32.5,38.54,20.4455518193306,25.5,26,19.7098272983758,-6,-0.5,"C_isolepis","AUSL","Australia"
"9",10470,"3411_L","L","Ctenophorus isolepis","1979-02-28 09:30:00",0,27,32.4,38.3,38.7535959663626,24.6,28.29,30.1181295828208,-5.9,-3.7,"C_isolepis","AUSL","Australia"
"10",10358,"3312_L","L","Ctenophorus isolepis","1979-02-25 16:32:00",-2.5,50,33.2,38.91,25.8986871771277,33,35.74,27.195259874229,-5.7,-2.7,"C_isolepis","AUSL","Australia"
"11",10084,"2984_L","L","Ctenophorus isolepis","1979-02-15 08:42:00",0,0,31.4,37.03,37.3611529352836,26.2,28.47,28.6453086437374,-5.6,-2.3,"C_isolepis","AUSL","Australia"
"12",10344,"3281_L","L","Ctenophorus isolepis","1979-02-25 08:15:00",0,50,32.4,38.03,38.9984659477463,26,23.66,36.3234369580045,-5.6,2.3,"C_isolepis","AUSL","Australia"
"13",10085,"2986_L","L","Ctenophorus isolepis","1979-02-15 08:54:00",0,0,32,37.49,37.3611529352836,27.4,29.66,28.6453086437374,-5.5,-2.3,"C_isolepis","AUSL","Australia"
"14",10086,"2985_L","L","Ctenophorus isolepis","1979-02-15 08:44:00",0,0,31.6,37.1,37.3611529352836,26.2,28.67,28.6453086437374,-5.5,-2.5,"C_isolepis","AUSL","Australia"
"15",9868,"2845_L","L","Ctenophorus isolepis","1979-02-07 10:41:00",0,0,35.9,41.18,36.7629490340169,33.6,36.01,33.3239775720253,-5.3,-2.4,"C_isolepis","AUSL","Australia"
"16",10173,"3139_L","L","Ctenophorus isolepis","1979-02-18 08:05:00",0,36,30.7,35.3,38.660186324131,28.6,24.33,33.2081610692745,-4.6,4.3,"C_isolepis","AUSL","Australia"
"17",7210,"1027_L","L","Ctenophorus isolepis","1978-10-27 14:36:00",-2.5,50,34,38.38,18.8364529074491,22.5,26.97,17.1762858833848,-4.4,-4.5,"C_isolepis","AUSL","Australia"
"18",9195,"2386_L","L","Ctenophorus isolepis","1979-01-11 09:10:00",0,50,33.7,38.06,40.3168667138839,29.7,32.89,38.7622571797825,-4.4,-3.2,"C_isolepis","AUSL","Australia"
"19",8095,"1660_L","L","Ctenophorus isolepis","1978-11-29 07:40:00",0,45,31.3,35.61,38.8100956322458,19.9,20.62,31.7561948129561,-4.3,-0.7,"C_isolepis","AUSL","Australia"
"20",10458,"3416_L","L","Ctenophorus isolepis","1979-02-28 07:32:00",0,48,33,37.23,37.4870931572623,19.7,19.51,32.6096934945007,-4.2,0.2,"C_isolepis","AUSL","Australia"
"21",7687,"1388_L","L","Ctenophorus isolepis","1978-11-13 10:35:00",0,0,34.2,38.17,29.5813782977062,NA,24.91,24.2594066355556,-4,NA,"C_isolepis","AUSL","Australia"
