Number,site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,at,bt,time_orig,Date,Day,Month,yr,date
2014,AUSI,2014_I,Ctenophorus,caudicinctus,Ctenophorus caudicinctus,J,Juvenile,UNK,29.8,35,1545,151278,15,12,78,15/12/1978
2019,AUSI,2019_I,Ctenophorus,caudicinctus,Ctenophorus caudicinctus,M,Adult,MALE,31.6,38,1545,151278,15,12,78,15/12/1978
2018,AUSI,2018_I,Ctenophorus,caudicinctus,Ctenophorus caudicinctus,M,Adult,MALE,31.8,38.1,1556,151278,15,12,78,15/12/1978
22857,AUSR,22857_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,15.2,15.8,640,121089,12,10,89,12/10/1989
23154,AUSR,23154_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,19.4,18.8,350,101189,10,11,89,10/11/1989
22900,AUSR,22900_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,17.7,19.7,1900,221089,22,10,89,22/10/1989
23558,AUSL,23558_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,19.1,19.8,500,31289,3,12,89,3/12/1989
22842,AUSR,22842_R,Rhynchoedura,ornata,Rhynchoedura ornata,UNK,UNK,UNK,19.4,20,1845,91089,9,10,89,9/10/1989
22819,AUSL,22819_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,25.4,22.1,900,51089,5,10,89,5/10/1989
22986,AUSL,22986_L,Gehyra,purpurascens,Gehyra purpurascens,M,Adult,MALE,22.4,22.2,1920,11189,1,11,89,1/11/1989
22923,AUSR,22923_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,21.6,22.4,1850,231089,23,10,89,23/10/1989
22803,AUSL,22803_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,19.4,23.4,1015,21089,2,10,89,2/10/1989
22924,AUSR,22924_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,23.4,23.4,1920,231089,23,10,89,23/10/1989
22871,AUSL,22871_L,Gehyra,purpurascens,Gehyra purpurascens,M,Adult,MALE,24.3,24.2,1845,181089,18,10,89,18/10/1989
22987,AUSL,22987_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,23.2,24.9,740,21189,2,11,89,2/11/1989
22881,AUSL,22881_L,Cryptoblepharus,buchananii,Cryptoblepharus buchananii,UNK,UNK,UNK,19.7,25.2,725,201089,20,10,89,20/10/1989
23553,AUSL,23553_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,24.2,25.3,2029,31289,3,12,89,3/12/1989
22828,AUSR,22828_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,18.5,25.4,945,81089,8,10,89,8/10/1989
23552,AUSL,23552_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,25.2,25.4,1958,31289,3,12,89,3/12/1989
22841,AUSR,22841_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,20.5,26.4,1840,91089,9,10,89,9/10/1989
23551,AUSL,23551_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,25.6,26.4,1945,31289,3,12,89,3/12/1989
22826,AUSR,22826_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,26.6,26.4,1836,61089,6,10,89,6/10/1989
22833,AUSR,22833_R,Gehyra,purpurascens,Gehyra purpurascens,F,Adult,FEMALE,16.1,26.7,1915,81089,8,10,89,8/10/1989
22866,AUSG,22866_G,Moloch,horridus,Moloch horridus,M,Adult,MALE,27.5,27,750,141089,14,10,89,14/10/1989
22801,AUSL,22801_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,24.8,27.2,1830,11089,1,10,89,1/10/1989
22827,AUSR,22827_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,26.6,27.3,1840,61089,6,10,89,6/10/1989
23285,AUSL,23285_L,Liopholis,striata,Liopholis striata,M,Adult,MALE,28.6,27.3,725,201189,20,11,89,20/11/1989
22959,AUSR,22959_R,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,23.3,27.7,1515,261089,26,10,89,26/10/1989
22951,AUSR,22951_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,25.4,27.9,955,251089,25,10,89,25/10/1989
22834,AUSR,22834_R,Liopholis,inornata,Liopholis inornata,F,Adult,FEMALE,19.6,28,735,91089,9,10,89,9/10/1989
22867,AUSS,22867_S,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,28,28,1833,141089,14,10,89,14/10/1989
22808,AUSL,22808_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,21.4,28.2,1200,31089,3,10,89,3/10/1989
22844,AUSR,22844_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,28.5,28.2,915,101089,10,10,89,10/10/1989
22963,AUSL,22963_L,Menetia,greyii,Menetia greyii,UNK,UNK,UNK,26.9,28.6,915,281089,28,10,89,28/10/1989
23664,AUSR,23664_R,Varanus,tristis,Varanus tristis,F,Adult,FEMALE,24.9,28.8,930,191289,19,12,89,19/12/1989
