"","X","number","note_book","Site","Genus_species","datetime2","DEP","BT","TC_interp","TC","AT","TA_interp","TA1m","wt","svl","diff_TC","diff_TA","species","site","region"
"1",2194,18538,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-02 10:26:00",0,33.2,34.89,34.1853212909577,31.2,31.9,30.9798043988759,1.7,41,-1.7,-0.7,"A_aculeata","KLA","Africa"
"2",3047,19246,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-05-07 12:06:00",0,33.7,34.65,34.8509019239494,18.8,22.48,22.4877242778044,2.5,42,-0.9,-3.7,"A_aculeata","KLA","Africa"
"3",6316,20979,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-09-20 15:51:00",0,34.9,35.47,35.420664741126,34.8,31.99,31.5229478432212,25.4,91,-0.6,2.8,"A_aculeata","KLA","Africa"
"4",728,16571,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-01-31 08:10:00",0,33,33.12,32.6249282927756,27.9,27.59,27.2568012801743,38.2,97,-0.1,0.3,"A_aculeata","KLA","Africa"
"5",2226,18602,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-03 11:50:00",0,35.4,35.31,35.6322845466758,32,33.75,33.8384256321586,1.5,36,0.1,-1.8,"A_aculeata","KLA","Africa"
"6",2250,18618,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-04 11:13:00",0,35.8,35.56,35.4768424674837,31.3,34.69,34.5055667594592,2.5,40,0.2,-3.4,"A_aculeata","KLA","Africa"
"7",3045,19247,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-05-07 12:10:00",0,34.7,34.52,34.8509019239494,18.3,22.47,22.4877242778044,2.5,40,0.2,-4.2,"A_aculeata","KLA","Africa"
"8",2197,18515,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-02 10:57:00",0,36.4,35.73,35.8117071639212,32.4,32.99,33.0992039256777,0.5,30,0.7,-0.6,"A_aculeata","KLA","Africa"
"9",3048,19223,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-05-07 11:34:00",0,35.7,34.96,34.8509019239494,19.7,22.57,22.4877242778044,4.2,49,0.7,-2.9,"A_aculeata","KLA","Africa"
"10",5186,20412,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-08-04 13:34:00",0,35.9,35.22,35.0647969427434,17.8,19.62,19.6203618987198,7.3,59,0.7,-1.8,"A_aculeata","KLA","Africa"
"11",2199,18509,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-02 10:37:00",0,36,35.19,35.8117071639212,32.2,32.29,33.0992039256777,1.5,37,0.8,-0.1,"A_aculeata","KLA","Africa"
"12",2251,18625,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-04 11:47:00",0,36.7,35.76,35.8415747995512,31.5,35.16,35.3354903256293,1.5,37,0.9,-3.7,"A_aculeata","KLA","Africa"
"13",2200,18517,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-02 10:59:00",0,36.8,35.78,35.8117071639212,32.6,33.06,33.0992039256777,2.3,43,1,-0.5,"A_aculeata","KLA","Africa"
"14",2223,18558,"1.Kalahari-RBH-FieldBook 15002-165073","KLA","Agama aculeata","1970-04-03 10:05:00",0,35.8,34.66,34.75271809179,29,30.68,30.4465275172237,1.5,39,1.1,-1.7,"A_aculeata","KLA","Africa"
