number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
15007,KLI,19.08,-29.17,Pachydactylus rugosus,M,22/11/1969,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,nocturnal,NA,no,NA
15032,KLI,21.04,-28.09,Chondrodactylus bibronii,F,24/11/1969,NA,NA,NA,NA,NA,NA,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,NA,spring,nocturnal,NA,no,NA
15033,KLI,21.04,-28.09,Chondrodactylus bibronii,F,24/11/1969,NA,NA,NA,NA,NA,NA,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,NA,spring,nocturnal,NA,no,NA
15076,KLL,20.43,-26.23,Pedioplanis namaquensis,M,28/11/1969,11.5,NA,51,125,NA,NA,11,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1130,spring,diurnal,no,no,NA
15091,KLL,20.43,-26.23,Chondrodactylus angulifer,F,28/11/1969,21,NA,89,62,25.6,23,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2100,spring,nocturnal,no,no,NA
15128,KLL,20.43,-26.23,Ptenopus garrulus,F,28/11/1969,NA,NA,47,24,28,23,11,7.Kalahari-LC-FieldBook-18528-19938.pdf,NA,spring,nocturnal,no,no,NA
15145,KLK,20.44,-25.45,Trachylepis sparsa,J,30/11/1969,15.58,NA,31,48,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1535,spring,diurnal,no,no,NA
15161,KLK,20.44,-25.45,Chondrodactylus bibronii,M,30/11/1969,23.08,NA,95,87,NA,NA,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2305,spring,nocturnal,no,no,NA
15165,KLI,20.58,-27.01,Chondrodactylus bibronii,M,1/12/1969,22.12,NA,86,NA,28.2,29.2,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2207,summer,nocturnal,no,no,NA
15167,KLI,21.48,-27.04,Trachylepis spilogaster,NA,2/12/1969,14.38,NA,33,57,NA,34.2,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1423,summer,diurnal,no,no,NA
15178,KLK,20.44,-25.45,Pachydactylus wahlbergii,M,29/11/1969,20.83,NA,47,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,2050,spring,nocturnal,no,no,NA
15179,KLK,20.44,-25.45,Ptenopus garrulus,M,29/11/1969,21.25,NA,51,35,NA,NA,11,7.Kalahari-LC-FieldBook-18528-19938.pdf,2115,spring,nocturnal,no,no,NA
15180,KLK,20.44,-25.45,Chondrodactylus angulifer,M,29/11/1969,NA,NA,90,69,25.6,27.2,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,NA,spring,nocturnal,no,no,NA
15185,KLI,20.58,-27.01,Chondrodactylus bibronii,F,1/12/1969,20.58,NA,56,57,NA,NA,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2035,summer,nocturnal,no,no,NA
15186,KLI,20.58,-27.01,Chondrodactylus bibronii,F,1/12/1969,21.58,NA,72,51,30.6,30,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2135,summer,nocturnal,no,no,NA
15187,KLI,20.58,-27.01,Chondrodactylus bibronii,M,1/12/1969,21.62,NA,82,71,31.4,29.8,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2137,summer,nocturnal,no,yes,NA
15188,KLI,20.58,-27.01,Chondrodactylus bibronii,F,1/12/1969,21.63,NA,73,70,31.6,29.4,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2138,summer,nocturnal,no,no,NA
15189,KLI,20.58,-27.01,Agama aculeata,M,1/12/1969,18.5,NA,114,175,NA,NA,12,1.Kalahari-RBH-FieldBook 15002-165073,1830,summer,diurnal,yes,no,NA
15201,KLI,21.52,-26.55,Heliobolus lugubris,F,3/12/1969,8.92,NA,57,128,39.3,30,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,855,summer,diurnal,yes,no,NA
15211,KLI,21.38,-26.51,Pachydactylus rugosus,M,3/12/1969,21.92,NA,50,39,25,24.7,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,2155,summer,nocturnal,no,no,NA
15212,KLI,21.38,-26.51,Pachydactylus wahlbergii,F,3/12/1969,22.38,NA,57,45,22,22.5,12,2.Kalahari-LC-FieldBook-15001-16385.pdf,2223,summer,nocturnal,no,no,NA
15250,KLI,20.53,-26.48,Pachydactylus capensis,F,4/12/1969,22.5,NA,56,35,NA,NA,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2230,summer,nocturnal,no,no,NA
15260,KLI,20.53,-26.48,Trachylepis occidentalis,F,5/12/1969,9.65,NA,71,112,36.3,29,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,939,summer,diurnal,no,no,NA
15263,KLI,20.37,-26.28,Chondrodactylus bibronii,F,5/12/1969,NA,NA,NA,NA,NA,NA,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,NA,summer,nocturnal,NA,no,NA
15303,KLI,19.56,-27.14,Heliobolus lugubris,M,9/12/1969,NA,NA,49,144,NA,NA,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,summer,diurnal,no,no,NA
15311,KLI,20.35,-28.16,Chondrodactylus bibronii,M,7/12/1969,10.3,NA,NA,NA,NA,NA,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1018,summer,nocturnal,NA,yes,NA
15349,KLI,19.5,-26.33,Trachylepis sparsa,M,10/12/1969,10.2,NA,76,58,32.6,30.6,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1012,summer,diurnal,yes,no,NA
15357,KLI,19.26,-25.31,Chondrodactylus bibronii,F,10/12/1969,21.62,NA,75,51,28.8,28.8,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2137,summer,nocturnal,no,no,NA
15379,KLI,19.26,-25.31,Chondrodactylus bibronii,M,10/12/1969,22.05,NA,75,48,29.9,24,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2203,summer,nocturnal,no,yes,NA
15380,KLI,19.26,-25.31,Chondrodactylus bibronii,M,11/12/1969,7.17,NA,37,34,NA,NA,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,710,summer,nocturnal,no,yes,NA
15398,KLL,20.43,-26.23,Chondrodactylus angulifer,F,11/12/1969,21.92,NA,90,62,NA,27,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,2155,summer,nocturnal,no,no,NA
15419,KLL,20.43,-26.23,Meroles suborbitalis,NA,11/12/1969,18.25,NA,29,66,NA,NA,12,5.Kalahari-LC-FieldBook-16426-18493.pdf,1815,summer,diurnal,no,no,NA
15430,KLL,20.43,-26.23,Chondrodactylus angulifer,M,11/12/1969,21.73,NA,94,59,26.5,26.6,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,2144,summer,nocturnal,no,no,NA
15436,KLK,20.44,-25.45,Trachylepis sparsa,M,12/12/1969,12.17,NA,54,73,37.5,34.2,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1210,summer,diurnal,no,no,NA
15448,KLK,20.44,-25.45,Trachylepis spilogaster,M,12/12/1969,15.33,NA,75,NA,35.8,34.8,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1520,summer,diurnal,yes,no,NA
15459,KLK,20.44,-25.45,Pedioplanis namaquensis,M,12/12/1969,17.72,NA,50,111,36.2,34,12,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1743,summer,diurnal,no,no,NA
15467,KLK,20.44,-25.45,Ptenopus garrulus,M,12/12/1969,21.23,NA,44,NA,NA,NA,12,7.Kalahari-LC-FieldBook-18528-19938.pdf,2114,summer,nocturnal,no,no,NA
15483,KLI,19.41,-26.22,Chondrodactylus bibronii,M,13/12/1969,NA,NA,87,63,NA,NA,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,summer,nocturnal,no,no,NA
15494,KLI,22.28,-26.08,Ptenopus garrulus,NA,23/01/1970,20.73,NA,NA,NA,NA,27.8,1,7.Kalahari-LC-FieldBook-18528-19938.pdf,2044,summer,nocturnal,NA,no,NA
15523,KLB,20.27,-27,Agama aculeata,M,16/12/1969,8.72,NA,80,124,38.1,28.5,12,1.Kalahari-RBH-FieldBook 15002-165073,843,summer,diurnal,yes,no,NA
15539,KLM,19.49,-26.22,Acontias kgalagadi,NA,14/12/1969,22.57,NA,NA,NA,NA,NA,12,1.Kalahari-RBH-FieldBook 15002-165073,2234,summer,fossorial,NA,no,NA
15551,KLI,20.53,-27.51,Meroles suborbitalis,NA,17/12/1969,8,NA,29,66,NA,28.7,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,800,summer,diurnal,no,no,NA
15560,KLI,20.53,-27.51,Chondrodactylus angulifer,NA,16/12/1969,20.55,NA,NA,NA,NA,29.6,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2033,summer,nocturnal,NA,no,NA
15571,KLI,20.53,-27.51,Pedioplanis lineoocellata,M,17/12/1969,8.4,NA,63,135,36.7,29.2,12,6.Kalahari-RBH-FieldBook-18494-19947.pdf,824,summer,diurnal,yes,no,NA
15579,KLI,22.32,-26.45,Trachylepis spilogaster,F,18/12/1969,16.12,NA,75,41,37.5,36.3,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1607,summer,diurnal,yes,no,NA
15582,KLI,22.32,-26.45,Trachylepis spilogaster,M,18/12/1969,17.67,NA,65,72,35.6,34.2,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1740,summer,diurnal,yes,no,NA
15587,KLI,22.32,-26.45,Heliobolus lugubris,M,19/12/1969,9.08,NA,56,144,NA,NA,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,905,summer,diurnal,yes,no,NA
15588,KLI,22.32,-26.45,Heliobolus lugubris,F,19/12/1969,9.22,NA,61,136,NA,NA,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,913,summer,diurnal,yes,no,NA
15591,KLI,22.32,-26.45,Heliobolus lugubris,M,19/12/1969,9.55,NA,58,147,38.5,25.5,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,933,summer,diurnal,yes,no,NA
15592,KLI,22.32,-26.45,Heliobolus lugubris,F,19/12/1969,9.92,NA,61,115,NA,NA,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,955,summer,diurnal,yes,no,NA
15593,KLI,22.32,-26.45,Heliobolus lugubris,M,18/12/1969,15.77,NA,62,161,37.2,34.6,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1546,summer,diurnal,yes,no,NA
15594,KLI,22.32,-26.45,Heliobolus lugubris,M,19/12/1969,8.67,NA,56,150,35.4,23.2,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,840,summer,diurnal,yes,no,NA
15595,KLI,22.32,-26.45,Heliobolus lugubris,M,19/12/1969,8.92,NA,57,134,38,22.9,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,855,summer,diurnal,yes,no,NA
15597,KLI,22.32,-26.45,Heliobolus lugubris,M,19/12/1969,9.33,NA,54,140,NA,24.2,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,920,summer,diurnal,no,no,NA
15598,KLI,22.32,-26.45,Heliobolus lugubris,F,19/12/1969,9.37,NA,57,133,36.2,25.2,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,922,summer,diurnal,yes,no,NA
15599,KLI,22.32,-26.45,Heliobolus lugubris,F,19/12/1969,9.75,NA,58,133,40,26.6,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,945,summer,diurnal,yes,no,NA
15603,KLI,22.31,-26.19,Heliobolus lugubris,F,20/12/1969,11.85,NA,60,115,NA,NA,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1151,summer,diurnal,yes,no,NA
15604,KLI,22.31,-26.19,Heliobolus lugubris,M,20/12/1969,11.88,NA,54,146,NA,NA,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1153,summer,diurnal,no,no,NA
15613,KLI,22.27,-26.2,Pachydactylus capensis,F,19/12/1969,NA,NA,62,61,NA,NA,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,NA,summer,nocturnal,no,no,NA
15618,KLT,22.28,-26.08,Pachydactylus wahlbergii,F,20/12/1969,22.08,NA,56,49,25.2,25.3,12,2.Kalahari-LC-FieldBook-15001-16385.pdf,2205,summer,nocturnal,no,no,NA
15621,KLI,21.48,-27.04,Ptenopus garrulus,F,21/12/1969,21.42,NA,50,NA,NA,27,12,7.Kalahari-LC-FieldBook-18528-19938.pdf,2125,summer,nocturnal,no,no,NA
15622,KLI,21.48,-27.04,Chondrodactylus angulifer,M,21/12/1969,21.62,NA,92,70,26.4,26.3,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2137,summer,nocturnal,no,no,NA
15626,KLI,21.48,-27.04,Heliobolus lugubris,M,22/12/1969,9.57,NA,55,144,38.4,30,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,934,summer,diurnal,no,no,NA
15641,KLA,20.43,-27.22,Chondrodactylus angulifer,M,26/12/1969,22.25,NA,38,30,NA,24.6,12,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2215,summer,nocturnal,no,no,NA
15682,KLA,20.43,-27.22,Ptenopus garrulus,F,26/12/1969,22.07,NA,47,31,NA,25.6,12,6.Kalahari-RBH-FieldBook-18494-19947.pdf,2204,summer,nocturnal,no,no,NA
15716,KLB,20.27,-27,Agama aculeata,F,28/12/1969,17.08,NA,88,108,39,37.9,12,2.Kalahari-LC-FieldBook-15001-16385.pdf,1705,summer,diurnal,yes,no,NA
15739,KLM,19.49,-26.22,Pachydactylus capensis,F,29/12/1969,23.52,NA,51,49,NA,31.4,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,2331,summer,nocturnal,no,no,NA
