"","Region","Number","Site","Genus_species","dmy","time_orig","year_cat","Sex","Tb","Ta"
"1","KAL",15523,"KLB","Agama_aculeata",1969-12-16,"843","1969","M",28.5,38.1
"2","KAL",15716,"KLB","Agama_aculeata",1969-12-28,"1705","1969","F",37.9,39
"3","KAL",17820,"KLG","Agama_aculeata",1970-02-25,"911","1970","F",32.8,35.7
"4","KAL",17864,"KLD","Agama_aculeata",1970-02-25,"932","1970","M",33.5,37.8
"5","KAL",18515,"KLA","Agama_aculeata",1970-04-02,"1057","1970","J",32.4,36.4
"6","KAL",18747,"KLX","Agama_aculeata",1970-04-13,"1024","1970","J",27.3,35.3
"7","KAL",18807,"KLX","Agama_aculeata",1970-04-14,"1250","1970","F",29.3,36.7
"8","KAL",18808,"KLX","Agama_aculeata",1970-04-14,"1254","1970","J",29.7,37
"9","KAL",19477,"KLB","Agama_aculeata",1970-05-15,"1250","1970","F",24.2,31.1
"10","KAL",19602,"KLB","Agama_aculeata",1970-05-15,"1350","1970","F",30.7,NA
"11","KAL",19631,"KLX","Agama_aculeata",1970-05-21,"1156","1970","M",24.4,36
"12","KAL",19639,"KLX","Agama_aculeata",1970-05-21,"1304","1970","F",27.2,36.7
"13","KAL",21040,"KLX","Agama_aculeata",1970-09-23,"1058","1970","F",30.6,34.9
"14","KAL",16896,"KLK","Agama_aculeata",1970-02-05,"1738","1970","M",31,36
"15","KAL",16978,"KLK","Agama_aculeata",1970-02-06,"1436","1970","F",32,39.6
"16","KAL",15274,"KLI","Agama_aculeata",1969-12-07,"2120","1969","M",25.7,25.8
"17","KAL",16887,"KLK","Agama_aculeata",1970-02-05,"1645","1970","M",31.5,38.4
"18","KAL",16939,"KLK","Agama_aculeata",1970-02-05,"1732","1970","M",30.5,33.7
"19","KAL",16837,"KLL","Agama_aculeata",1970-02-04,"1517","1970","M",29.1,33.2
"20","KAL",15733,"KLB","Agama_aculeata",1969-12-28,"1815","1969","M",36.6,39.8
"21","KAL",16739,"KLL","Agama_aculeata",1970-02-03,"1635","1970","F",28.4,32.4
"22","KAL",16892,"KLK","Agama_aculeata",1970-02-05,"1702","1970","M",31.7,37.3
"23","KAL",17009,"KLK","Agama_aculeata",1970-02-06,"1518","1970","M",33.4,NA
"24","KAL",17566,"KLT","Agama_aculeata",1970-02-21,"1023","1970","F",31.7,NA
"25","KAL",20780,"KLB","Agama_aculeata",1970-09-07,"1357","1970","M",29.9,34.3
"26","KAL",21601,"KLG","Agama_aculeata",1970-10-11,"1507","1970","M",28,36.8
"27","KAL",15917,"KLG","Agama_aculeata",1970-01-04,"1701","1970","F",31.8,37.9
"28","KAL",16623,"KLB","Agama_aculeata",1970-02-01,"1045","1970","M",33,NA
"29","KAL",17042,"KLB","Agama_aculeata",1970-02-08,"1151","1970","F",31.4,NA
"30","KAL",15352,"KLI","Agama_aculeata",1969-12-10,"1130","1969","F",34.4,39.6
"31","KAL",16982,"KLK","Agama_aculeata",1970-02-06,"1515","1970","F",31.8,37.6
"32","KAL",19119,"KLG","Agama_aculeata",1970-04-23,"1631","1970","M",25,34.6
"33","KAL",21386,"KLX","Agama_aculeata",1970-10-04,"1059","1970","M",28.3,37.6
"34","KAL",21576,"KLG","Agama_aculeata",1970-10-11,"946","1970","M",22.6,NA
"35","KAL",20979,"KLA","Agama_aculeata",1970-09-20,"1551","1970","F",34.8,34.9
