"","x"
"1",0.0233596638304767
"2",0
"3",0
"4",0
"5",0
"6",0.00375278194468028
"7",0.0243152221349465
"8",0.0743627237873199
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0.00817308626049072
"17",2.25735530859651
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.290113779963593
"27",1.25532580803393
"28",0
"29",0.144100745949568
"30",1.59580630141492
"31",0.0125516002739174
"32",0.00215964665917255
"33",0.000401241487419085
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",2.42896654415761
"45",0.0561933084417137
"46",1.90991506490581
"47",0
"48",0
"49",0.0034123845092502
"50",2.36311040880698
"51",0.0121894430860584
"52",0
"53",0.00874544540842039
"54",0.0985340682537631
"55",5.79544731253187
"56",17.4621069628483
"57",16.2483555509004
"58",1.48087211437766
"59",12.1172955805009
"60",0.239094447756153
"61",0.0115215217242236
"62",0.307536416694161
"63",0.485914181308081
"64",0.835431292703857
"65",4.11915551765656
"66",2.82090183680078
"67",7.85079369928269
"68",7.02877254447983
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0.0192392439251013
"76",0.011654145377024
"77",1.96764459270669
"78",0.00892012640047862
"79",2.19702345346967
"80",0.290439585374704
"81",0.0137932835311984
"82",6.87934824497263e-05
"83",0.278211644111872
"84",0.702646273844401
"85",0.630825397993764
"86",0.206644398298434
"87",0
"88",0
"89",0
"90",0.00129006262848465
"91",0
"92",0.000401241487419085
"93",0.0991124610903034
"94",0
"95",0
"96",0
"97",8.19946908507151
"98",3.42892248899171
"99",11.5025776439358
"100",1.11515787541172
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0.0309455844701657
"113",0
"114",0
"115",0
"116",0
"117",0
"118",1.7055391545851
"119",0.0010938884078187
"120",0
"121",0
"122",0
"123",0.100017605576561
"124",0
"125",0.000859864703750547
"126",0.00529103442003779
"127",0
"128",0
