ClimNo,StasName,Latitude,Longitude,DateT,Rain(mm),Mx,Mn
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-01,0.00,39.60,15.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-02,0.00,38.90,22.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-03,0.00,36.60,18.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-04,0.00,37.80,16.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-05,0.00,41.40,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-06,0.00,39.50,21.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-07,0.00,39.20,21.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-08,0.00,37.30,22.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-09,0.00,31.40,14.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-10,0.00,34.80,14.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-11,0.00,34.70,16.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-12,0.00,34.10,15.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-13,0.00,36.20,17.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-14,0.00,35.60,20.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-15,0.00,38.60,16.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-16,0.00,39.90,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-17,0.00,40.20,23.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-18,0.00,37.30,22.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-19,0.00,37.10,16.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-20,0.00,36.00,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-21,0.00,28.20,19.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-22,0.00,32.80,16.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-23,0.00,38.70,13.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-24,0.00,37.40,18.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-25,0.00,36.70,17.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-26,0.00,34.20,19.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-27,0.00,31.30,21.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-28,0.00,36.20,22.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-29,0.00,38.50,20.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-30,0.00,37.20,24.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-31,0.00,40.90,24.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-01,0.00,38.50,25.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-02,0.00,38.60,22.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-03,0.00,36.50,20.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-04,0.00,38.60,21.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-05,0.00,40.00,19.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-06,0.00,41.60,21.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-07,0.00,35.80,21.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-08,0.00,33.30,16.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-09,0.00,36.40,13.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-10,0.00,30.60,16.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-11,0.00,29.80,13.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-12,0.00,36.70,15.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-13,0.00,36.80,21.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-14,0.00,37.20,20.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-15,0.00,39.10,23.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-16,0.00,37.90,23.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-17,0.00,39.10,18.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-18,5.30,38.60,24.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-19,0.00,34.60,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-20,0.00,26.40,19.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-21,0.00,37.60,19.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-22,6.10,36.40,23.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-23,4.90,33.70,22.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-24,2.30,31.10,19.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-25,6.10,32.40,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-26,24.50,28.00,19.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-27,0.90,30.40,19.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-28,15.30,33.00,22.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-01,0.00,30.20,19.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-02,0.00,34.00,18.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-03,0.00,35.60,20.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-04,0.00,36.20,24.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-05,0.00,37.10,22.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-06,2.60,33.40,24.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-07,0.00,32.20,20.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-08,9.00,33.90,21.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-09,0.00,27.40,16.40
