Site name,Lat,Long,Elevation_m,Site_name_ab
Kalahari_K,-25.755,20.6,958,Af_K
Kalahari_M,-26.33,19.84,963,Af_M
Kalahari_L,-26.35,20.75,904,Af_L
Kalahari_T,-26.28,22.26,967,Af_T
Kalahari_B,-26.99,20.25,787,Af_B
Kalahari_A,-27.34,20.7,863,Af_A
Kalahari_X,-27.34,21.4,926,Af_X
Kalahari_D,-27.4,22.1,1030,Af_D
Kalahari_R,-28.24,22.1,1043,Af_R
Kalahari_G,-28.21,22.26,1048,Af_G
Australia_A,-28.5,119.1,422,Au_A
Australia_E,-28.1,123.9,406,Au_E
Australia_L,-28.5,122.67,494,Au_L
Australia_R,-28.2,123.59,431,Au_R
Australia_M,-26.27,121,541,Au_M
Australia_D,-26.24,121.2,551,Au_D
Australia_B,-28.24,123.6,452,Au_B
Australia_Y,-28.14,124.25,405,Au_Y
Australia_N,-28.295,125.8,347,Au_N
Australia_I,-28.5,122.67,494,Au_I
