Genus_species,Region,Site,year_range,Tb_sample_size
Ctenophorus isolepis,Australia,AUSL,1978 - 1990,570
Gehyra variegata,Australia,AUSR,1978 - 1979,382
Gehyra variegata,Australia,AUSL,1967 - 1979,329
Ctenophorus isolepis,Australia,AUSR,1978 - 1990,242
Ctenotus quatt,Australia,AUSL,1967 - 1990,218
Ctenotus quatt,Australia,AUSR,1978 - 1991,128
Moloch horridus,Australia,AUSR,1978 - 1991,92
Gehyra variegata,Australia,AUSA,1966 - 1968,59
Moloch horridus,Australia,AUSE,1967 - 1995,56
Gehyra variegata,Australia,AUSG,1967 - 1967,50
Gehyra variegata,Australia,AUSI,1966 - 1968,47
Ctenotus quatt,Australia,AUSG,1967 - 1967,30
Gehyra variegata,Australia,AUSE,1967 - 1967,25
Pogona minor,Australia,AUSR,1978 - 1998,21
Pogona minor,Australia,AUSA,1966 - 1968,19
Pogona minor,Australia,AUSL,1967 - 1990,18
Moloch horridus,Australia,AUSL,1967 - 1990,17
Moloch horridus,Australia,AUSD,1967 - 1967,12
Pogona minor,Australia,AUSI,1967 - 1967,12
Gehyra variegata,Australia,AUSD,1966 - 1978,9
Moloch horridus,Australia,AUSI,1966 - 1978,9
Ctenotus quatt,Australia,AUSE,1966 - 1979,8
Moloch horridus,Australia,AUSA,1966 - 1967,8
Pogona minor,Australia,AUSE,1967 - 1967,8
Gehyra variegata,Australia,AUSN,1967 - 1967,7
Ctenophorus isolepis,Australia,AUSD,1978 - 1978,6
Pogona minor,Australia,AUS ,1966 - 1967,6
Gehyra variegata,Australia,AUSS,1967 - 1967,5
Moloch horridus,Australia,AUS ,1966 - 1967,5
Pogona minor,Australia,AUSM,1967 - 1967,5
Gehyra variegata,Australia,AUSM,1967 - 1967,4
Ctenotus quatt,Australia,AUSI,1966 - 1966,3
Pogona minor,Australia,AUSG,1967 - 1967,3
Gehyra variegata,Australia,AUSY,1967 - 1967,2
Moloch horridus,Australia,AUSG,1967 - 1989,2
Moloch horridus,Australia,AUSM,1966 - 1967,2
Pogona minor,Australia,AUSS,1967 - 1967,2
Ctenophorus isolepis,Australia,AUSG,1989 - 1989,1
Ctenotus quatt,Australia,AUSN,1967 - 1967,1
Pogona minor,Australia,AUSD,1967 - 1967,1
Pogona minor,Australia,AUSN,1967 - 1967,1
