species,Region,site,year_range,Tb_sample_size
Meroles suborbitalis,Africa,KLL,1969 - 1970,135
Pedioplanis lineoocellata,Africa,KLA,1969 - 1970,115
Meroles suborbitalis,Africa,KLA,1969 - 1970,113
Pedioplanis lineoocellata,Africa,KLT,1970 - 1970,86
Pedioplanis lineoocellata,Africa,KLX,1970 - 1970,85
Trachylepis sparsa,Africa,KLB,1969 - 1970,85
Trachylepis sparsa,Africa,KLK,1969 - 1970,84
Meroles suborbitalis,Africa,KLR,1970 - 1970,82
Pedioplanis lineoocellata,Africa,KLG,1969 - 1970,80
Pedioplanis lineoocellata,Africa,KLD,1970 - 1970,72
Chondrodactylus angulifer,Africa,KLA,1969 - 1970,60
Chondrodactylus angulifer,Africa,KLT,1970 - 1970,57
Pedioplanis lineoocellata,Africa,KLB,1969 - 1970,53
Meroles suborbitalis,Africa,KLG,1969 - 1970,51
Agama aculeata,Africa,KLX,1970 - 1970,49
Meroles suborbitalis,Africa,KLX,1970 - 1970,46
Chondrodactylus angulifer,Africa,KLD,1970 - 1970,44
Chondrodactylus angulifer,Africa,KLB,1969 - 1970,41
Chondrodactylus angulifer,Africa,KLG,1970 - 1970,40
Pedioplanis lineoocellata,Africa,KLL,1969 - 1970,40
Chondrodactylus angulifer,Africa,KLL,1969 - 1970,39
Trachylepis sparsa,Africa,KLX,1970 - 1970,38
Pedioplanis lineoocellata,Africa,KLK,1969 - 1970,37
Trachylepis sparsa,Africa,KLL,1969 - 1970,37
Agama aculeata,Africa,KLB,1969 - 1970,30
Pedioplanis lineoocellata,Africa,KLI,1969 - 1970,29
Pedioplanis lineoocellata,Africa,KLM,1969 - 1970,29
Agama aculeata,Africa,KLA,1970 - 1970,25
Agama aculeata,Africa,KLG,1969 - 1970,25
Chondrodactylus angulifer,Africa,KLK,1969 - 1970,25
Agama aculeata,Africa,KLK,1969 - 1970,22
Meroles suborbitalis,Africa,KLB,1969 - 1970,22
Chondrodactylus angulifer,Africa,KLI,1969 - 1970,21
Chondrodactylus angulifer,Africa,KLM,1969 - 1970,21
Agama aculeata,Africa,KLD,1970 - 1970,20
Agama aculeata,Africa,KLL,1969 - 1970,18
Meroles suborbitalis,Africa,KLD,1970 - 1970,18
Trachylepis sparsa,Africa,KLI,1969 - 1970,17
Agama aculeata,Africa,KLI,1969 - 1970,16
Meroles suborbitalis,Africa,KLI,1969 - 1970,15
Pedioplanis lineoocellata,Africa,KLR,1970 - 1970,12
Pedioplanis lineoocellata,Africa,NA,1970 - 1970,11
Chondrodactylus angulifer,Africa,KLX,1970 - 1970,9
Trachylepis sparsa,Africa,KLM,1970 - 1970,8
Agama aculeata,Africa,KLR,1970 - 1970,7
Chondrodactylus angulifer,Africa,KLR,1970 - 1970,5
Trachylepis sparsa,Africa,KLA,1970 - 1970,5
Trachylepis sparsa,Africa,KLG,1970 - 1970,5
Agama aculeata,Africa,KLM,1969 - 1969,4
Agama aculeata,Africa,KLT,1970 - 1970,4
Meroles suborbitalis,Africa,KLK,1970 - 1970,3
Trachylepis sparsa,Africa,KLR,1970 - 1970,3
Meroles suborbitalis,Africa,KLM,1970 - 1970,1
Meroles suborbitalis,Africa,KLT,1970 - 1970,1
Pedioplanis lineoocellata,Africa,KLR,1970 - 1970,1
