species,site,year_range,Tb_sample_size
Agama aculeata,KLX,1970 - 1970,49
Agama aculeata,KLB,1969 - 1970,30
Agama aculeata,KLA,1970 - 1970,25
Agama aculeata,KLG,1969 - 1970,25
Chondrodactylus angulifer,KLA,1969 - 1970,60
Chondrodactylus angulifer,KLT,1970 - 1970,57
Chondrodactylus angulifer,KLD,1970 - 1970,44
Chondrodactylus angulifer,KLB,1969 - 1970,41
Chondrodactylus angulifer,KLG,1970 - 1970,40
Chondrodactylus angulifer,KLL,1969 - 1970,39
Meroles suborbitalis,KLL,1969 - 1970,135
Meroles suborbitalis,KLA,1969 - 1970,113
Meroles suborbitalis,KLR,1970 - 1970,82
Meroles suborbitalis,KLG,1969 - 1970,51
Meroles suborbitalis,KLX,1970 - 1970,46
Pedioplanis lineoocellata,KLA,1969 - 1970,115
Pedioplanis lineoocellata,KLT,1970 - 1970,86
Pedioplanis lineoocellata,KLX,1970 - 1970,85
Pedioplanis lineoocellata,KLG,1969 - 1970,80
Pedioplanis lineoocellata,KLD,1970 - 1970,72
Pedioplanis lineoocellata,KLB,1969 - 1970,53
Pedioplanis lineoocellata,KLL,1969 - 1970,40
Pedioplanis lineoocellata,KLK,1969 - 1970,37
Pedioplanis lineoocellata,KLI,1969 - 1970,29
Pedioplanis lineoocellata,KLM,1969 - 1970,29
Trachylepis sparsa,KLB,1969 - 1970,85
Trachylepis sparsa,KLK,1969 - 1970,84
Trachylepis sparsa,KLX,1970 - 1970,38
Trachylepis sparsa,KLL,1969 - 1970,37
