Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,12045,1957,01,01,40.0,,Y
IDCJAC0010,12045,1957,01,02,35.6,1,Y
IDCJAC0010,12045,1957,01,03,36.7,1,Y
IDCJAC0010,12045,1957,01,04,40.6,1,Y
IDCJAC0010,12045,1957,01,05,41.1,1,Y
IDCJAC0010,12045,1957,01,06,34.4,1,Y
IDCJAC0010,12045,1957,01,07,34.4,1,Y
IDCJAC0010,12045,1957,01,08,36.1,1,Y
IDCJAC0010,12045,1957,01,09,36.1,1,Y
IDCJAC0010,12045,1957,01,10,36.7,1,Y
IDCJAC0010,12045,1957,01,11,41.1,1,Y
IDCJAC0010,12045,1957,01,12,42.8,1,Y
IDCJAC0010,12045,1957,01,13,40.0,1,Y
IDCJAC0010,12045,1957,01,14,46.1,1,Y
IDCJAC0010,12045,1957,01,15,35.0,1,Y
IDCJAC0010,12045,1957,01,16,35.6,1,Y
IDCJAC0010,12045,1957,01,17,40.0,1,Y
IDCJAC0010,12045,1957,01,18,37.8,1,Y
IDCJAC0010,12045,1957,01,19,35.0,1,Y
IDCJAC0010,12045,1957,01,20,37.8,1,Y
IDCJAC0010,12045,1957,01,21,37.8,1,Y
IDCJAC0010,12045,1957,01,22,31.7,1,Y
IDCJAC0010,12045,1957,01,23,33.9,1,Y
IDCJAC0010,12045,1957,01,24,36.7,1,Y
IDCJAC0010,12045,1957,01,25,36.7,1,Y
IDCJAC0010,12045,1957,01,26,38.3,1,Y
IDCJAC0010,12045,1957,01,27,41.1,1,Y
IDCJAC0010,12045,1957,01,28,42.8,1,Y
IDCJAC0010,12045,1957,01,29,38.9,1,Y
IDCJAC0010,12045,1957,01,30,32.2,1,Y
IDCJAC0010,12045,1957,01,31,26.7,1,Y
IDCJAC0010,12045,1957,02,01,32.8,1,Y
IDCJAC0010,12045,1957,02,02,34.4,1,Y
IDCJAC0010,12045,1957,02,03,34.4,1,Y
IDCJAC0010,12045,1957,02,04,38.3,1,Y
IDCJAC0010,12045,1957,02,05,33.3,1,Y
IDCJAC0010,12045,1957,02,06,31.1,1,Y
IDCJAC0010,12045,1957,02,07,32.8,1,Y
IDCJAC0010,12045,1957,02,08,30.0,1,Y
IDCJAC0010,12045,1957,02,09,30.0,1,Y
IDCJAC0010,12045,1957,02,10,27.2,1,Y
IDCJAC0010,12045,1957,02,11,30.6,1,Y
IDCJAC0010,12045,1957,02,12,36.7,1,Y
IDCJAC0010,12045,1957,02,13,40.6,1,Y
IDCJAC0010,12045,1957,02,14,29.4,1,Y
IDCJAC0010,12045,1957,02,15,28.3,1,Y
IDCJAC0010,12045,1957,02,16,33.3,1,Y
IDCJAC0010,12045,1957,02,17,32.8,1,Y
IDCJAC0010,12045,1957,02,18,32.2,1,Y
IDCJAC0010,12045,1957,02,19,34.4,1,Y
IDCJAC0010,12045,1957,02,20,29.4,1,Y
IDCJAC0010,12045,1957,02,21,29.4,1,Y
IDCJAC0010,12045,1957,02,22,31.7,1,Y
IDCJAC0010,12045,1957,02,23,34.4,1,Y
IDCJAC0010,12045,1957,02,24,35.0,1,Y
IDCJAC0010,12045,1957,02,25,36.7,1,Y
IDCJAC0010,12045,1957,02,26,40.6,1,Y
IDCJAC0010,12045,1957,02,27,36.7,1,Y
IDCJAC0010,12045,1957,02,28,35.0,1,Y
IDCJAC0010,12045,1957,03,01,35.6,1,Y
IDCJAC0010,12045,1957,03,02,32.8,1,Y
IDCJAC0010,12045,1957,03,03,35.0,1,Y
IDCJAC0010,12045,1957,03,04,36.1,1,Y
IDCJAC0010,12045,1957,03,05,35.6,1,Y
IDCJAC0010,12045,1957,03,06,36.7,1,Y
IDCJAC0010,12045,1957,03,07,39.4,1,Y
IDCJAC0010,12045,1957,03,08,25.6,1,Y
IDCJAC0010,12045,1957,03,09,25.0,1,Y
IDCJAC0010,12045,1957,03,10,28.3,1,Y
IDCJAC0010,12045,1957,03,11,35.0,1,Y
IDCJAC0010,12045,1957,03,12,28.9,1,Y
IDCJAC0010,12045,1957,03,13,26.1,1,Y
IDCJAC0010,12045,1957,03,14,29.4,1,Y
IDCJAC0010,12045,1957,03,15,31.1,1,Y
IDCJAC0010,12045,1957,03,16,32.8,1,Y
IDCJAC0010,12045,1957,03,17,37.2,1,Y
