Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,12045,1957,01,01,22.2,,Y
IDCJAC0011,12045,1957,01,02,18.9,1,Y
IDCJAC0011,12045,1957,01,03,20.0,1,Y
IDCJAC0011,12045,1957,01,04,22.2,1,Y
IDCJAC0011,12045,1957,01,05,22.2,1,Y
IDCJAC0011,12045,1957,01,06,17.2,1,Y
IDCJAC0011,12045,1957,01,07,17.2,1,Y
IDCJAC0011,12045,1957,01,08,19.4,1,Y
IDCJAC0011,12045,1957,01,09,21.1,1,Y
IDCJAC0011,12045,1957,01,10,19.4,1,Y
IDCJAC0011,12045,1957,01,11,21.1,1,Y
IDCJAC0011,12045,1957,01,12,23.3,1,Y
IDCJAC0011,12045,1957,01,13,23.3,1,Y
IDCJAC0011,12045,1957,01,14,25.0,1,Y
IDCJAC0011,12045,1957,01,15,18.3,1,Y
IDCJAC0011,12045,1957,01,16,17.8,1,Y
IDCJAC0011,12045,1957,01,17,21.1,1,Y
IDCJAC0011,12045,1957,01,18,26.1,1,Y
IDCJAC0011,12045,1957,01,19,19.4,1,Y
IDCJAC0011,12045,1957,01,20,22.2,1,Y
IDCJAC0011,12045,1957,01,21,22.2,1,Y
IDCJAC0011,12045,1957,01,22,23.9,1,Y
IDCJAC0011,12045,1957,01,23,21.1,1,Y
IDCJAC0011,12045,1957,01,24,23.3,1,Y
IDCJAC0011,12045,1957,01,25,22.8,1,Y
IDCJAC0011,12045,1957,01,26,22.2,1,Y
IDCJAC0011,12045,1957,01,27,22.2,1,Y
IDCJAC0011,12045,1957,01,28,28.9,1,Y
IDCJAC0011,12045,1957,01,29,26.7,1,Y
IDCJAC0011,12045,1957,01,30,22.8,1,Y
IDCJAC0011,12045,1957,01,31,18.9,1,Y
IDCJAC0011,12045,1957,02,01,20.0,1,Y
IDCJAC0011,12045,1957,02,02,18.9,1,Y
IDCJAC0011,12045,1957,02,03,19.4,1,Y
IDCJAC0011,12045,1957,02,04,22.8,1,Y
IDCJAC0011,12045,1957,02,05,20.6,1,Y
IDCJAC0011,12045,1957,02,06,18.9,1,Y
IDCJAC0011,12045,1957,02,07,17.8,1,Y
IDCJAC0011,12045,1957,02,08,18.9,1,Y
IDCJAC0011,12045,1957,02,09,23.3,1,Y
IDCJAC0011,12045,1957,02,10,13.3,1,Y
IDCJAC0011,12045,1957,02,11,14.4,1,Y
IDCJAC0011,12045,1957,02,12,18.9,1,Y
IDCJAC0011,12045,1957,02,13,21.1,1,Y
IDCJAC0011,12045,1957,02,14,16.1,1,Y
IDCJAC0011,12045,1957,02,15,13.3,1,Y
IDCJAC0011,12045,1957,02,16,19.4,1,Y
IDCJAC0011,12045,1957,02,17,20.6,1,Y
IDCJAC0011,12045,1957,02,18,22.2,1,Y
IDCJAC0011,12045,1957,02,19,21.7,1,Y
IDCJAC0011,12045,1957,02,20,17.2,1,Y
IDCJAC0011,12045,1957,02,21,15.0,1,Y
IDCJAC0011,12045,1957,02,22,15.0,1,Y
IDCJAC0011,12045,1957,02,23,17.8,1,Y
IDCJAC0011,12045,1957,02,24,20.0,1,Y
IDCJAC0011,12045,1957,02,25,18.3,1,Y
IDCJAC0011,12045,1957,02,26,20.6,1,Y
IDCJAC0011,12045,1957,02,27,24.4,1,Y
IDCJAC0011,12045,1957,02,28,21.1,1,Y
IDCJAC0011,12045,1957,03,01,23.3,1,Y
IDCJAC0011,12045,1957,03,02,17.2,1,Y
IDCJAC0011,12045,1957,03,03,19.4,1,Y
IDCJAC0011,12045,1957,03,04,21.1,1,Y
IDCJAC0011,12045,1957,03,05,16.1,1,Y
IDCJAC0011,12045,1957,03,06,24.4,1,Y
IDCJAC0011,12045,1957,03,07,22.2,1,Y
IDCJAC0011,12045,1957,03,08,18.3,1,Y
IDCJAC0011,12045,1957,03,09,11.1,1,Y
IDCJAC0011,12045,1957,03,10,13.3,1,Y
IDCJAC0011,12045,1957,03,11,18.3,1,Y
IDCJAC0011,12045,1957,03,12,18.3,1,Y
IDCJAC0011,12045,1957,03,13,13.9,1,Y
IDCJAC0011,12045,1957,03,14,15.0,1,Y
IDCJAC0011,12045,1957,03,15,15.6,1,Y
IDCJAC0011,12045,1957,03,16,17.2,1,Y
IDCJAC0011,12045,1957,03,17,18.9,1,Y
IDCJAC0011,12045,1957,03,18,21.7,1,Y
IDCJAC0011,12045,1957,03,19,21.1,1,Y
IDCJAC0011,12045,1957,03,20,19.4,1,Y
IDCJAC0011,12045,1957,03,21,21.1,1,Y
IDCJAC0011,12045,1957,03,22,18.3,1,Y
IDCJAC0011,12045,1957,03,23,17.8,1,Y
IDCJAC0011,12045,1957,03,24,18.9,1,Y
IDCJAC0011,12045,1957,03,25,21.7,1,Y
IDCJAC0011,12045,1957,03,26,18.3,1,Y
IDCJAC0011,12045,1957,03,27,15.6,1,Y
IDCJAC0011,12045,1957,03,28,18.9,1,Y
IDCJAC0011,12045,1957,03,29,22.2,1,Y
IDCJAC0011,12045,1957,03,30,16.1,1,Y
IDCJAC0011,12045,1957,03,31,16.7,1,Y
IDCJAC0011,12045,1957,04,01,13.9,1,Y
IDCJAC0011,12045,1957,04,02,15.6,1,Y
IDCJAC0011,12045,1957,04,03,21.1,1,Y
IDCJAC0011,12045,1957,04,04,20.0,1,Y
IDCJAC0011,12045,1957,04,05,16.7,1,Y
IDCJAC0011,12045,1957,04,06,16.1,1,Y
