"","x"
"1",0.000117184867152732
"2",0.397766939554723
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0.0158351010616501
"14",0.0155202464954502
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.0356617989651609
"27",0.146677802288446
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0.107499235527161
"55",0.07348575885389
"56",0.171053766741313
"57",0.0112888682930332
"58",0.26535371398613
"59",0.382880632000874
"60",0.000823274447050795
"61",0.10611509374923
"62",1.00002413301695
"63",0
"64",0.0685686235301031
"65",0
"66",0
"67",0
"68",0
"69",1.34994247762567
"70",0.000370571087507359
"71",0.0128708045756361
"72",0.00022737203999787
"73",0.539894208664003
"74",0.520244330177321
"75",0.000624985958148781
"76",0
"77",0
"78",0
"79",1.20658745044481
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0.00153476126998645
"86",0.473405722551358
"87",0.600268242232602
"88",0.151403751744337
"89",0.150484900235629
"90",0.0760637622623956
"91",0.125142421209374
"92",0.00124997191629783
"93",0.000156246489536972
"94",0
"95",0
"96",0
"97",0
"98",0.149567397455362
"99",0.000113686019998751
"100",0.0375333306904638
"101",0.17214498224646
"102",0.451978222772712
"103",0
"104",0
"105",0
"106",0.000461741774303715
"107",0.000530826604311828
"108",0
"109",0.0382389515619794
"110",0.23941202238469
"111",0.326733906669696
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0.450669175735129
"118",0.350933825552381
"119",0.000296456870005983
"120",0.0436517063056474
"121",0
"122",2.36590450068609
"123",3.21417363329472
"124",26.0508574098175
"125",11.7605105476614
"126",0.0317340873137698
"127",0.0032514360794737
"128",0.00407628196258431
"129",0
"130",0
"131",0.00117140261499335
"132",0
"133",0.129279456937537
"134",0
"135",0
"136",0.130153325784583
"137",0
"138",0
"139",0
"140",0.204364526046912
"141",0.11352202771732
"142",0.374696463826163
"143",0.310666906590308
"144",0.00436757955561838
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0.115608586897239
"156",0
"157",1.58957476705861
"158",0.163115954314869
"159",0.0130724371520304
"160",3.17377066490777
"161",0.0733272059421338
"162",0.661463311900392
"163",0.791345745846618
"164",0
"165",0.000234369734305845
"166",0.000546862713380414
"167",0.404559561994479
"168",2.71516150651162
"169",0.0588841455163703
"170",0.350017378431781
"171",0.027341032773118
"172",0
"173",0
"174",1.45148569798209
"175",0
"176",0.000527331902188435
"177",0
"178",0
"179",0
"180",1.20148904041375
"181",0
"182",0
"183",0
"184",0
"185",0.0118161407712593
"186",0
"187",0.0817603537135472
"188",0
"189",0
"190",0
"191",10.4094406216361
"192",0.446289367058611
"193",0.0112886701349436
"194",0.00328648038452922
"195",0.0568548823350968
"196",0.00838207396943803
"197",0.139941151186398
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0.000641017922186807
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",3.06141663547646
"226",0
"227",0
"228",0.0869434331877452
"229",0.0702613726504947
"230",0.070363233913238
"231",0
"232",0
"233",0
"234",0.413691920050886
"235",8.2507159530579
"236",8.05130199586843
"237",0.634856065763959
"238",2.39612536825289
"239",0.241532953883754
"240",0.000230870887151484
"241",0.208672437529791
"242",0.0259959477690439
"243",2.33346186640647
"244",0.000905916899199046
"245",0
"246",0
"247",0
"248",0
"249",0.0102872747951298
"250",0
"251",0.113827841920633
"252",0.00595356356429892
"253",0
"254",0
"255",0.00914984607880376
"256",0
"257",0.111142396131613
"258",0.0250147586457334
"259",0
"260",0
"261",0
"262",0
"263",0.593155266169445
"264",0.00774796530238279
"265",0.00631923570837577
"266",0.0148069533276819
"267",0.00031249297907445
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0.00488770317032006
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0.454933193136132
"289",0.0653567567504136
"290",0.74093143078175
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0.000148228435002751
"299",0
"300",0.173335750098791
"301",0
"302",0
"303",0
"304",0.000234369734305845
"305",0.0239057128992089
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0.193452412196516
"318",1.32531210616512
"319",1.9356776191082
"320",0.00031249297907445
"321",0.0570679474761842
"322",0
"323",0
"324",0
"325",0
"326",0.00219457679498469
"327",0
"328",0.426203683728584
"329",0.00841806677566734
"330",1.55232312563105
"331",0.729259137937727
"332",0.00331416328476583
"333",0
"334",0
"335",0
"336",0.000520334207879713
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0.412750748956951
"345",0.199562472467008
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0.132795091945881
"354",0.583809822938244
"355",0.004235895767473
"356",0.677531314615463
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",1.10272016757556
"364",3.75553967444045
"365",4.23231712959532
