"","x"
"1",0
"2",0
"3",0.00625174183280099
"4",0.148336723021545
"5",0.00123679913370367
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",1.38646193818818
"15",0.0762895531307606
"16",0.0014270374022316
"17",0
"18",0.80302963725998
"19",0.0575712683705599
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.698161416556114
"33",0.0115831386502628
"34",0.000139791954239137
"35",0
"36",0.242005757635163
"37",0.335791567518183
"38",0.013968272869911
"39",0.114597485864059
"40",10.1614764896852
"41",2.73736753402666
"42",0.000279583908478275
"43",0.000511043195991058
"44",0.0139278755122388
"45",0.0094074968120921
"46",0.319089721965023
"47",0.0614981922297029
"48",9.1667333273516e-05
"49",0.012416471240005
"50",0
"51",0.341615595224807
"52",0
"53",0.00625871050642045
"54",0
"55",3.56004010792844
"56",1.11644458029057
"57",0.26806882438172
"58",1.18367352063646
"59",0.287498541267227
"60",0.000328321394606377
"61",0.286389517357887
"62",0.00286507721726594
"63",0.0013291455934728
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0.00519895935845708
"73",0
"74",0
"75",2.04421053806056
"76",2.39395017861645
"77",5.78981002599494
"78",0.0771564260655271
"79",0
"80",0.0690377421343279
"81",3.8599026788004
"82",7.29002150391371
"83",0
"84",0.0145266567016545
"85",0
"86",0.000734710322773756
"87",0
"88",0.27946746056284
"89",0
"90",0
"91",0
"92",0
"93",0.06369798082885
"94",0.0175708426292893
"95",0
"96",0
"97",0.0852447634426975
"98",0.486955221213379
"99",0.911898475266046
"100",0.608038579976603
"101",0.128065377627315
"102",3.46594295918824
"103",1.94237632216079
"104",0.953235848416935
"105",0.00114023799620471
"106",0
"107",0
"108",0
"109",0.0590439596773493
"110",3.82255131372226
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0.216569569121418
"124",0
"125",8.38751725434303e-05
"126",0
"127",0
"128",0
"129",0.00836786531996463
"130",0.312673324576066
"131",11.2411534822825
"132",1.28735686693005
"133",0
"134",0.000513214648317043
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0.0444396579433094
"143",0
"144",0
"145",0
"146",0.114334694659814
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",1.01025943277624
"156",0.0269283884739639
"157",0
"158",0.550811030690963
"159",0
"160",0
"161",0
"162",0
"163",0.0233667649588771
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0.00893803976786371
"176",0.255184857902912
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0.00376021102629663
"196",0
"197",0.614704060887672
"198",0.296431322172762
"199",1.10142293783186
"200",8.17298055231752
"201",0.974686669945525
"202",0.00038189599031625
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0.000229137594189608
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0.064613190179969
"224",0.00511330074466351
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0.000229137594189608
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0.579961251594242
"246",2.04046609590635
"247",0.000670202364306069
"248",0
"249",0.0216238635134785
"250",1.63266488140234
"251",0.00125386993046391
"252",0
"253",0
"254",0
"255",0.0399525633679532
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0.767681330002388
"262",6.2995241982412
"263",0
"264",0.0119101285749187
"265",4.60285133488562
"266",0.00839046049467599
"267",0
"268",0
"269",0.113613765518681
"270",0.507619187356577
"271",0.000153964394494946
"272",0
"273",0
"274",0
"275",0
"276",0.143558009614213
"277",0
"278",3.13898377723756
"279",0.772563430594691
"280",0.0147453865376596
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0.00974271615134311
"290",0.00290208556753323
"291",0.296235122408366
"292",0.145055493864503
"293",0.162477597661418
"294",0.393012991734301
"295",0
"296",0
"297",0.0598172398485229
"298",0
"299",0
"300",0
"301",0
"302",0
"303",1.88889436965
"304",0
"305",0
"306",0.0792627439961092
"307",0.00553961180911978
"308",0
"309",0
"310",0
"311",0.0128125892427796
"312",3.32211817650836
"313",0.130866095267854
"314",0.242877954461624
"315",3.36558558636498
"316",8.9368097368164
"317",8.75017443648526
"318",0.0177099045174134
"319",0
"320",0
"321",0
"322",0.0704029345059532
"323",0
"324",0
"325",0
"326",0
"327",0.0399827138790826
"328",0
"329",0
"330",0
"331",0
"332",1.96279493048625
"333",21.3188320830414
"334",0.330485542559021
"335",0.0383112412290571
"336",0
"337",0
"338",0.0358542396205521
"339",0.0146638123846558
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0.30566970045248
"350",0.43621097831913
"351",0.868095139833995
"352",1.89031812479699
"353",0.0521196880370556
"354",0.606875556155025
"355",2.7884383757591
"356",10.9933369356436
"357",0
"358",0
"359",0
"360",1.81865476226368
"361",0
"362",0
"363",0
"364",0
"365",0
