Region,ID,Site,Genus_species,datetime2,DEP,SHADE,BT,TC_interp,TC,AT,TA_interp,TA1m,diff_TC,diff_TA,Error,Remove,Notes
Au,1070_R,R,Ctenophorus isolepis,29/10/1978 13:07,-2.5,50,32.6,38.02,22.15456263,19.2,23.49,20.85502229,-5.4,-4.3,ERA5,Y,Overcast/Windy
Au,1081_R,R,Ctenophorus isolepis,30/10/1978 07:55,0,33,33.5,33.15,38.63444274,19.4,20.67,27.378501,0.4,-1.3,,N,
Au,1082_R,R,Ctenophorus isolepis,30/10/1978 07:32,0,33,32.8,34.89,38.63444274,21,19.1,27.378501,-2.1,1.9,,N,
Au,1086_R,R,Ctenophorus isolepis,30/10/1978 11:08,-2.5,50,38.8,37.5,27.85193605,24.5,26.53,22.45294925,1.3,-2,,N,
Au,1099_R,R,Ctenophorus isolepis,31/10/1978 09:06,0,27,37.5,38.74,38.29322955,22.7,24.72,27.71014763,-1.2,-2,,N,
Au,1103_R,R,Ctenophorus isolepis,31/10/1978 11:52,-2.5,50,37.2,38.86,27.15808141,28,28.83,22.75791954,-1.7,-0.8,,N,
Au,1106_R,R,Ctenophorus isolepis,31/10/1978 15:27,-2.5,50,40.2,38.47,23.27772275,28.2,28.38,18.23714419,1.7,-0.2,,N,
Au,1107_R,R,Ctenophorus isolepis,31/10/1978 15:32,-2.5,50,39.4,38.44,22.27915063,28,28.28,17.8492576,1,-0.3,,N,
Au,1108_R,R,Ctenophorus isolepis,31/10/1978 16:19,-2.5,50,37.5,37.18,22.27915063,27,27.12,17.8492576,0.3,-0.1,,N,
Au,1109_R,R,Ctenophorus isolepis,31/10/1978 16:37,-2.5,50,36.5,36.12,21.39518606,26.5,26.57,17.50667207,0.4,-0.1,,N,
Au,1118_R,R,Ctenophorus isolepis,1/11/1978 10:00,0,0,38,38.32,37.28846421,25,25.05,27.71305306,-0.3,-0.1,,N,
Au,1119_R,R,Ctenophorus isolepis,1/11/1978 10:12,0,0,39.5,38.32,37.28846421,26.5,25.56,27.71305306,1.2,0.9,,N,
Au,1120_R,R,Ctenophorus isolepis,1/11/1978 10:15,0,0,35,38.32,37.28846421,24.5,25.68,27.71305306,-3.3,-1.2,,N,
Au,1121_R,R,Ctenophorus isolepis,1/11/1978 10:23,0,0,39,38.32,37.28846421,25.8,26.02,27.71305306,0.7,-0.2,,N,
Au,1123_R,R,Ctenophorus isolepis,1/11/1978 10:27,0,0,38.3,38.33,37.28846421,25,26.19,27.71305306,0,-1.2,,N,
Au,1124_R,R,Ctenophorus isolepis,1/11/1978 11:28,-2.5,50,39.9,38.55,30.72628079,30.5,28.41,24.9394221,1.4,2.1,,N,
Au,1151_R,R,Ctenophorus isolepis,2/11/1978 13:28,-2.5,50,39.8,40.82,29.54643655,32,33.77,25.11409854,-1,-1.8,,N,
Au,1154_R,R,Ctenophorus isolepis,2/11/1978 17:09,-2.5,50,33.8,37.77,25.24969201,29.2,29.81,21.57136479,-4,-0.6,,N,
Au,1169_R,R,Ctenophorus isolepis,3/11/1978 08:04,0,42,39.2,37.71,38.96283952,28.4,27.16,35.81141572,1.5,1.2,,N,
Au,1170_R,R,Ctenophorus isolepis,3/11/1978 08:11,0,42,40.5,37.74,38.96283952,32,27.43,35.81141572,2.8,4.6,,N,
Au,1171_R,R,Ctenophorus isolepis,3/11/1978 08:13,0,42,36.8,37.75,38.96283952,30,27.5,35.81141572,-1,2.5,,N,
