,number,note_book,Site,Genus_species,datetime2,DEP,BT,TC_interp,TC,AT,TA_interp,TA1m,wt,svl,diff_TC,diff_TA,Error,Remove,Notes
2460,18732,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,13/4/1970 10:26,0,33.7,35.98,35.12703341,28.6,31.97,30.82286741,2.7,42,-2.3,-3.4,,,
2487,18788,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,14/4/1970 11:10,0,34.4,35.7,35.63086465,27,32.65,32.51774116,3,44,-1.3,-5.6,,,
6411,21092,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,24/9/1970 12:55,0,34.3,35.57,35.60867092,27.9,31.7,31.66690997,10.3,64,-1.3,-3.8,,,
6414,21109,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,24/9/1970 14:26,0,34.3,35.36,35.26882747,30.2,31.35,31.3672517,30,94,-1.1,-1.2,,,
6605,21302,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,2/10/1970 12:02,0,33.6,34.72,34.7073661,26.1,29.28,29.27988601,8.6,58,-1.1,-3.2,,,
2489,18802,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,14/4/1970 11:41,0,35.1,35.93,36.06676064,28.4,33.05,33.29970084,2.7,42,-0.8,-4.6,,,
6385,21040,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,23/9/1970 10:58,0,34.9,35.65,35.65713139,30.6,34.38,34.4557892,22.5,87,-0.8,-3.8,,,
2459,18747,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,13/4/1970 10:24,0,35.3,35.91,35.12703341,27.3,31.88,30.82286741,3,44,-0.6,-4.6,,,
2490,18806,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,14/4/1970 12:42,0,35.4,35.77,35.63842096,29.3,33.21,33.16447855,1.2,31,-0.4,-3.9,,,
2491,18794,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,14/4/1970 12:31,0,35.5,35.85,35.63842096,29.8,33.23,33.16447855,1.7,36,-0.4,-3.4,,,
3382,19626,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,21/5/1970 11:20,0,35.2,35.57,35.77368102,23.8,27.73,27.54508434,4.7,52,-0.4,-3.9,,,
6652,21382,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,4/10/1970 10:29,0,35.2,35.51,34.99830114,28.5,31.77,30.09652541,9.2,63,-0.3,-3.3,,,
2494,18795,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,14/4/1970 12:42,0,35.6,35.77,35.63842096,30,33.21,33.16447855,2.5,43,-0.2,-3.2,,,
2462,18754,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,13/4/1970 11:45,0,37.1,37.02,36.98972215,32.2,33.76,33.86056255,1.7,39,0.1,-1.6,,,
2486,18790,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,14/4/1970 11:21,0,36,35.78,35.63086465,27.9,32.79,32.51774116,2,39,0.2,-4.9,,,
6412,21097,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,24/9/1970 13:17,0,35.7,35.51,35.60867092,28.7,31.58,31.66690997,7.5,60,0.2,-2.9,,,
6386,21047,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,23/9/1970 12:00,0,36.3,36,36.00144628,33.5,35.22,35.21904931,6.6,58,0.3,-1.7,,,
6603,21285,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,2/10/1970 09:57,0,35.9,35.39,35.37153853,22.2,25.45,25.51397637,11.2,71,0.5,-3.2,,,
2484,18769,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,14/4/1970 10:10,0,35.8,35.17,35.07857786,24.9,29.46,28.84882771,3.5,48,0.6,-4.6,,,
6415,21104,1.Kalahari-RBH-FieldBook 15002-165073,KLX,Agama aculeata,24/9/1970 13:55,0,35.9,35.3,35.26882747,28.1,31.39,31.3672517,9.6,63,0.6,-3.3,,,
3383,19631,2.Kalahari-LC-FieldBook-15001-16385.pdf,KLX,Agama aculeata,21/5/1970 11:56,0,36,35.2,35.16058743,24.4,28.06,28.10149831,5.7,55,0.8,-3.7,,,
